Abreviatura,Valor,id_sistema,data,Sistema
Q Rev.Taquac.,0,2,2016-02-29,Guarapiranga
Q Guarat.,0.484,5,2016-02-29,Rio Claro
Q EEAB Bir,0,1,2016-03-31,Alto Tietê
Q RG-Taiaçupeba,0,1,2016-03-31,Alto Tietê
Q Transf Guaió,0,1,2016-03-31,Alto Tietê
Q Rev.Capiv.,0,2,2016-03-31,Guarapiranga
Q Rev.Taquac.,0,2,2016-03-31,Guarapiranga
Q Guarat.,0.484,5,2016-03-31,Rio Claro
Q EEAB Bir,0,1,2016-04-30,Alto Tietê
Q RG-Taiaçupeba,1.4,1,2016-04-30,Alto Tietê
Q Transf Guaió,0.3,1,2016-04-30,Alto Tietê
Q Rev.Capiv.,0,2,2016-04-30,Guarapiranga
Q Rev.Taquac.,3.11,2,2016-04-30,Guarapiranga
Q Guarat.,0.484,5,2016-04-30,Rio Claro
Q EEAB Bir,1.04,1,2016-05-31,Alto Tietê
Q RG-Taiaçupeba,2.8,1,2016-05-31,Alto Tietê
Q Transf Guaió,0.3,1,2016-05-31,Alto Tietê
Q Rev.Capiv.,1.433,2,2016-05-31,Guarapiranga
Q Rev.Taquac.,3.95,2,2016-05-31,Guarapiranga
Q Guarat.,0.484,5,2016-05-31,Rio Claro
Q EEAB Bir,1.5,1,2016-06-30,Alto Tietê
Q RG-Taiaçupeba,0,1,2016-06-30,Alto Tietê
Q Transf Guaió,0.3,1,2016-06-30,Alto Tietê
Q Rev.Capiv.,0,2,2016-06-30,Guarapiranga
Q Rev.Taquac.,0,2,2016-06-30,Guarapiranga
Q Guarat.,0.484,5,2016-06-30,Rio Claro
Q EEAB Bir,0,1,2016-07-31,Alto Tietê
Q RG-Taiaçupeba,0,1,2016-07-31,Alto Tietê
Q Transf Guaió,0.3,1,2016-07-31,Alto Tietê
Q Rev.Capiv.,0,2,2016-07-31,Guarapiranga
Q Rev.Taquac.,0,2,2016-07-31,Guarapiranga
Q RP-RG,3.6,4,2016-07-31,Rio Grande
Q Guarat.,0.357,5,2016-07-31,Rio Claro
Q EEAB Bir,1.97,1,2016-08-31,Alto Tietê
Q RG-Taiaçupeba,2.63,1,2016-08-31,Alto Tietê
Q Transf Guaió,0.3,1,2016-08-31,Alto Tietê
Q Rev.Capiv.,1.433,2,2016-08-31,Guarapiranga
Q Rev.Taquac.,0,2,2016-08-31,Guarapiranga
Q RP-RG,2.55,4,2016-08-31,Rio Grande
Q Guarat.,0.484,5,2016-08-31,Rio Claro
Q EEAB Bir,0.81,1,2016-09-30,Alto Tietê
Q RG-Taiaçupeba,0.986,1,2016-09-30,Alto Tietê
Q Transf Guaió,0.3,1,2016-09-30,Alto Tietê
Q Rev.Capiv.,1.433,2,2016-09-30,Guarapiranga
Q Rev.Taquac.,3.59,2,2016-09-30,Guarapiranga
Q RP-RG,3.6,4,2016-09-30,Rio Grande
Q Guarat.,0.484,5,2016-09-30,Rio Claro
Q EEAB Bir,2.2,1,2016-10-31,Alto Tietê
Q RG-Taiaçupeba,0,1,2016-10-31,Alto Tietê
Q Transf Guaió,0.373,1,2016-10-31,Alto Tietê
Q Rev.Capiv.,1.72,2,2016-10-31,Guarapiranga
Q Rev.Taquac.,4.09,2,2016-10-31,Guarapiranga
Q RP-RG,3.6,4,2016-10-31,Rio Grande
Q Guarat.,0,5,2016-10-31,Rio Claro
Q EEAB Bir,3.82,1,2016-11-30,Alto Tietê
Q RG-Taiaçupeba,0,1,2016-11-30,Alto Tietê
Q Transf Guaió,0,1,2016-11-30,Alto Tietê
Q Rev.Capiv.,0,2,2016-11-30,Guarapiranga
Q Rev.Taquac.,0,2,2016-11-30,Guarapiranga
Q RP-RG,0,4,2016-11-30,Rio Grande
Q Guarat.,0.484,5,2016-11-30,Rio Claro
Q EEAB Bir,3.36,1,2016-12-31,Alto Tietê
Q RG-Taiaçupeba,0,1,2016-12-31,Alto Tietê
Q Transf Guaió,0.375,1,2016-12-31,Alto Tietê
Q Rev.Capiv.,0,2,2016-12-31,Guarapiranga
Q Rev.Taquac.,0,2,2016-12-31,Guarapiranga
Q RP-RG,0,4,2016-12-31,Rio Grande
Q Guarat.,0.484,5,2016-12-31,Rio Claro
Q EEAB Bir,3.91,1,2017-01-31,Alto Tietê
Q RG-Taiaçupeba,0,1,2017-01-31,Alto Tietê
Q Transf Guaió,0.371,1,2017-01-31,Alto Tietê
Q Rev.Capiv.,0,2,2017-01-31,Guarapiranga
Q Rev.Taquac.,0,2,2017-01-31,Guarapiranga
Q RP-RG,0,4,2017-01-31,Rio Grande
Q Guarat.,0.484,5,2017-01-31,Rio Claro
Q EEAB Bir,2.78,1,2017-02-28,Alto Tietê
Q RG-Taiaçupeba,0,1,2017-02-28,Alto Tietê
Q Transf Guaió,0.374,1,2017-02-28,Alto Tietê
Q Rev.Capiv.,0,2,2017-02-28,Guarapiranga
Q Rev.Taquac.,0,2,2017-02-28,Guarapiranga
Q RP-RG,0,4,2017-02-28,Rio Grande
Q Guarat.,0.484,5,2017-02-28,Rio Claro
Q EEAB Bir,1.04,1,2017-03-31,Alto Tietê
Q RG-Taiaçupeba,2.018,1,2017-03-31,Alto Tietê
Q Transf Guaió,0.355,1,2017-03-31,Alto Tietê
Q Rev.Capiv.,0,2,2017-03-31,Guarapiranga
Q Rev.Taquac.,0,2,2017-03-31,Guarapiranga
Q RP-RG,0,4,2017-03-31,Rio Grande
Q Guarat.,0.484,5,2017-03-31,Rio Claro
Q EEAB Bir,1.5,1,2017-04-30,Alto Tietê
Q RG-Taiaçupeba,2.677,1,2017-04-30,Alto Tietê
